id,id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_maquina,FDF (Falha Desgaste Ferramenta),FDC (Falha Dissipacao Calor),FP (Falha Potencia),FTE (Falha Tensao Excessiva),FA (Falha Aleatoria)
0,L56434,L,298.3,309.1,90.0,1616.0,31.1,195.0,não,False,False,Não,False,Não
1,L48741,L,298.2,308.4,90.0,1388.0,53.8,137.0,Não,False,False,Não,False,Não
2,L48850,L,298.2,307.8,90.0,1528.0,31.1,,Não,N,False,Não,False,Não
3,M20947,M,300.9,310.8,90.0,1599.0,33.0,7.0,não,False,False,Não,False,não
4,L53849,L,-36.0,310.5,90.0,1571.0,33.9,,não,N,False,não,False,Não
5,L53113,L,300.5,310.5,90.0,-161.0,47.4,56.0,Não,False,False,Não,False,não
6,M23689,M,-36.0,308.8,90.0,1469.0,44.1,150.0,não,False,False,Não,False,não
7,L55125,L,300.8,311.7,90.0,1655.0,32.2,12.0,não,False,nao,Não,False,Não
8,L50688,L,301.7,310.9,90.0,1608.0,33.0,-202.0,não,False,False,não,False,Não
9,L49182,L,298.5,308.2,90.0,1654.0,27.1,13.0,Não,False,False,Não,False,não
10,L53046,L,301.5,311.1,90.0,1459.0,45.1,97.0,Não,False,False,Não,False,Não
11,L47348,L,298.4,308.3,90.0,1433.0,62.3,20.0,sim,False,False,Sim,False,0
12,L49768,L,299.0,308.7,90.0,1706.0,28.6,206.0,Não,False,False,Não,False,Não
13,H35319,H,,310.5,90.0,1582.0,31.1,193.0,Não,0,False,não,False,Não
14,L56709,L,299.1,310.3,90.0,1459.0,46.7,84.0,não,False,False,Não,False,Não
15,H35798,H,300.1,309.6,90.0,,45.1,113.0,Não,False,False,Não,False,não
16,L55004,L,299.9,311.3,90.0,1535.0,38.1,-202.0,Não,False,nao,Não,False,Não
17,L56959,L,298.8,309.8,90.0,1509.0,36.2,57.0,Não,False,False,Não,False,Não
18,L51809,L,303.0,311.2,90.0,1735.0,26.1,194.0,não,False,False,Não,False,Não
19,L55740,L,298.3,309.0,90.0,1408.0,45.4,98.0,Não,False,False,Não,False,não
20,L56471,L,298.2,309.0,90.0,1353.0,57.8,89.0,Não,False,False,Não,False,Não
21,H36288,H,300.9,311.3,90.0,1295.0,58.9,77.0,Não,False,False,Não,False,Não
22,L53701,L,301.1,310.1,90.0,1666.0,27.2,,Não,N,False,Não,False,Não
23,M23839,M,-36.0,307.5,90.0,1332.0,51.1,121.0,Não,False,False,Não,False,não
24,L53827,L,301.5,310.5,90.0,1927.0,22.4,149.0,não,False,False,Não,False,Não
25,L57005,L,298.4,309.2,90.0,1610.0,32.4,-202.0,Não,False,False,N,False,Não
26,L47390,L,298.4,308.7,90.0,1523.0,36.1,126.0,Não,False,False,Não,False,Não
27,M20138,M,303.5,312.9,90.0,-161.0,30.4,130.0,Não,False,False,Não,False,0
